cluster,n_peaks,pct_intergenic,pct_intronic,pct_exonic,pct_promoter,median_tss_distance,q25_tss_distance,q75_tss_distance,pct_within_2kb_tss,median_peak_width
28_12,477,39.2,45.07,14.68,1.05,14532.0,7091.0,27759.0,5.52,611.0
28_2,347,39.19,44.96,14.41,1.44,16561.0,8212.0,28784.0,5.44,751.0
28_3,241,32.78,51.87,13.28,2.07,18516.0,8883.0,34283.0,5.13,746.0
28_4,164,26.22,50.0,22.56,1.22,18699.0,8808.0,32006.0,7.87,717.0
28_5,1478,42.08,46.35,11.1,0.47,18479.0,8801.0,30867.0,5.47,474.0
28_6,120,37.5,55.83,5.83,0.83,19946.0,9708.0,30500.0,4.88,780.0
28_7,1318,34.83,47.95,16.31,0.91,16176.0,7744.0,28658.0,4.41,740.0
28_8,120,44.17,41.67,11.67,2.5,17498.0,6012.0,29220.0,14.13,700.0
28_9,163,34.36,53.99,11.66,0.0,18816.0,8422.0,34240.0,4.9,598.0
29_0,2152,37.31,41.22,19.98,1.49,14568.0,6953.0,27624.0,6.93,611.0
29_1,1234,32.9,40.92,23.91,2.27,13016.0,5893.0,25028.0,8.41,738.0
29_10,731,34.75,42.13,20.52,2.6,14054.0,5986.0,25148.0,7.48,564.0
29_11,492,39.23,40.85,17.48,2.44,15150.0,7606.0,26219.0,6.93,560.0
29_12,374,39.3,38.24,20.59,1.87,13184.0,6467.0,24775.0,6.85,618.0
29_13,770,37.79,39.09,20.91,2.21,14070.0,6679.0,27530.0,8.98,598.0
29_14,2135,44.92,44.36,9.98,0.75,15253.0,7015.0,27967.0,5.98,322.0
29_15,580,37.93,40.86,19.83,1.38,15929.0,7026.0,27579.0,5.91,638.0
29_16,344,34.88,39.53,22.67,2.91,14114.0,6488.0,27203.0,7.53,758.0
29_17,1122,35.47,46.52,16.93,1.07,14503.0,7078.0,27200.0,4.77,465.0
29_18,767,39.63,44.59,14.34,1.43,17089.0,7029.0,29706.0,5.48,605.0
29_19,2338,33.06,35.84,28.36,2.74,11146.0,4719.0,22743.0,9.32,850.0
29_2,645,34.88,46.82,16.28,2.02,14399.0,6524.0,26179.0,5.48,626.0
29_3,3816,33.67,39.7,24.55,2.07,13569.0,5805.0,26470.0,8.12,805.0
29_4,577,38.82,49.22,11.27,0.69,18106.0,8099.0,29923.0,5.15,521.0
29_5,839,38.26,36.11,24.08,1.55,13961.0,6797.0,26880.0,6.07,563.0
29_6,215,37.21,43.72,19.07,0.0,18712.0,7400.0,29805.0,6.06,592.0
29_7,175,31.43,48.57,18.29,1.71,16711.0,7266.0,31070.0,5.15,589.0
29_8,122,43.44,50.0,6.56,0.0,21826.0,7735.0,33881.0,3.95,622.0
29_9,591,38.75,41.96,16.92,2.37,13534.0,6190.0,26483.0,6.62,499.0
2_0,142,30.28,52.82,14.79,2.11,13878.0,6525.0,26757.0,8.57,494.0
2_1,993,36.56,39.07,22.66,1.71,14242.0,6851.0,27509.0,5.96,631.0
2_10,309,36.25,39.16,22.65,1.94,13272.0,6356.0,25805.0,7.34,596.0
2_11,672,35.12,44.05,19.64,1.19,16827.0,8246.0,30838.0,5.62,636.0
2_12,537,35.94,42.09,19.55,2.42,15554.0,8078.0,28161.0,5.04,621.0
2_13,3209,36.34,40.6,21.25,1.81,14579.0,6592.0,27620.0,7.49,672.0
2_14,5045,31.48,38.45,26.88,3.19,11802.0,4963.0,25219.0,9.29,800.0
2_15,559,37.57,40.97,19.32,2.15,15788.0,7614.0,27878.0,6.13,552.0
2_16,835,36.77,42.28,19.04,1.92,13343.0,6611.0,25247.0,6.93,547.0
2_17,225,30.67,52.89,14.22,2.22,15793.0,7032.0,26745.0,6.45,599.0
2_18,669,40.36,42.6,15.55,1.49,14093.0,6374.0,26807.0,6.69,529.0
2_19,775,35.61,43.1,20.0,1.29,12706.0,5986.0,25604.0,7.31,566.0
2_2,896,39.84,45.31,13.28,1.56,17210.0,7983.0,29629.0,6.2,680.0
2_3,957,36.68,39.39,22.15,1.78,14152.0,5621.0,27144.0,6.24,619.0
2_4,159,38.36,41.51,16.98,3.14,17209.0,5484.0,25714.0,7.38,734.0
2_5,3093,34.17,34.85,27.84,3.14,11396.0,4450.0,23734.0,10.25,845.0
2_6,5324,40.57,45.12,13.35,0.96,16676.0,7976.0,28627.0,5.22,396.0
2_7,421,38.72,43.23,15.68,2.38,16279.0,8589.0,30070.0,4.64,640.0
2_8,422,31.75,41.0,24.88,2.37,14309.0,5708.0,26963.0,7.25,618.0
2_9,1042,34.45,38.68,24.28,2.59,14665.0,6261.0,26246.0,8.96,638.0
30_0,1558,38.64,46.02,14.7,0.64,17029.0,9153.0,29918.0,3.43,516.0
30_1,616,32.47,39.45,25.97,2.11,13184.0,5574.0,24526.0,6.72,788.0
30_2,947,35.59,41.61,20.91,1.9,15497.0,7004.0,28283.0,5.95,769.0
30_3,168,42.26,41.67,14.29,1.79,16930.0,7272.0,32107.0,5.0,522.0
30_4,725,41.38,49.93,8.0,0.69,16304.0,8372.0,30822.0,4.77,306.0
30_5,1053,37.04,42.45,19.37,1.14,16619.0,7731.0,29872.0,5.35,679.0
